country,tag,count,freq
ABW,ASP.NET,1,0.0020325203252032522
ABW,Android,7,0.014227642276422764
ABW,C#,11,0.022357723577235773
ABW,C++,1,0.0020325203252032522
ABW,CSS,3,0.006097560975609756
ABW,HTML,3,0.006097560975609756
ABW,Haskell,2,0.0040650406504065045
ABW,Java,9,0.018292682926829267
ABW,JavaScript,16,0.032520325203252036
ABW,Objective-C,6,0.012195121951219513
ABW,Other,356,0.7235772357723578
ABW,PHP,12,0.024390243902439025
ABW,PowerShell,2,0.0040650406504065045
ABW,Python,4,0.008130081300813009
ABW,SQL,3,0.006097560975609756
ABW,Silverlight,30,0.06097560975609756
ABW,Swift,1,0.0020325203252032522
ABW,VB6,1,0.0020325203252032522
ABW,VBA,9,0.018292682926829267
ABW,VBScript,1,0.0020325203252032522
ABW,iOS,3,0.006097560975609756
ABW,iPhone,11,0.022357723577235773
AFG,ASP.NET,207,0.026904081102157525
AFG,Android,126,0.016376397192617624
AFG,Assembly,2,0.0002599428125812321
AFG,Bash,1,0.00012997140629061605
AFG,C,5,0.0006498570314530804
AFG,C#,430,0.05588770470496491
AFG,C++,8,0.0010397712503249284
AFG,CSS,186,0.024174681570054587
AFG,HTML,272,0.03535222251104757
AFG,Java,157,0.020405510787626722
AFG,JavaScript,378,0.04912919157785287
AFG,Objective-C,15,0.001949571094359241
AFG,Other,4906,0.6376397192617624
AFG,PHP,618,0.08032232908760073
AFG,Perl,3,0.0003899142188718482
AFG,Python,16,0.002079542500649857
AFG,SASS,1,0.00012997140629061605
AFG,SQL,300,0.03899142188718482
AFG,SVG,1,0.00012997140629061605
AFG,Silverlight,1,0.00012997140629061605
AFG,Smalltalk,1,0.00012997140629061605
AFG,Swift,5,0.0006498570314530804
AFG,VB.NET,17,0.002209513906940473
AFG,iOS,36,0.004678970626462178
AFG,iPhone,2,0.0002599428125812321
AGO,ASP.NET,3,0.007194244604316547
AGO,Android,2,0.004796163069544364
AGO,C,4,0.009592326139088728
AGO,C#,9,0.02158273381294964
AGO,CSS,2,0.004796163069544364
AGO,HTML,8,0.019184652278177457
AGO,Haskell,1,0.002398081534772182
AGO,Java,4,0.009592326139088728
AGO,JavaScript,11,0.026378896882494004
AGO,Objective-C,2,0.004796163069544364
AGO,Other,305,0.7314148681055156
AGO,PHP,9,0.02158273381294964
AGO,Python,3,0.007194244604316547
AGO,Ruby,38,0.09112709832134293
AGO,SASS,1,0.002398081534772182
AGO,SQL,10,0.023980815347721823
AGO,iOS,4,0.009592326139088728
AGO,iPhone,1,0.002398081534772182
AIA,CSS,62,0.14385150812064965
AIA,HTML,60,0.13921113689095127
AIA,JavaScript,96,0.22273781902552203
AIA,Other,204,0.4733178654292343
AIA,SASS,4,0.009280742459396751
AIA,SVG,5,0.01160092807424594
ALB,ASP.NET,202,0.01663098962621439
ALB,AWK,1,8.233163181294254e-05
ALB,ActionScript,5,0.00041165815906471265
ALB,Android,253,0.02082990284867446
ALB,Assembly,3,0.0002469948954388276
ALB,Bash,16,0.0013173061090070806
ALB,BlackBerry,7,0.0005763214226905978
ALB,C,24,0.0019759591635106206
ALB,C#,379,0.03120368845710522
ALB,C++,48,0.003951918327021241
ALB,CSS,351,0.02889840276634283
ALB,CoffeeScript,4,0.00032932652725177014
ALB,Delphi,56,0.004610571381524782
ALB,Flash,7,0.0005763214226905978
ALB,Flex,4,0.00032932652725177014
ALB,Groovy,1,8.233163181294254e-05
ALB,HTML,481,0.03960151490202536
ALB,Java,195,0.016054668203523793
ALB,JavaScript,687,0.05656183105549152
ALB,Julia,1,8.233163181294254e-05
ALB,MATLAB,1,8.233163181294254e-05
ALB,Objective-C,28,0.002305285690762391
ALB,Other,7852,0.6464679729952247
ALB,PHP,903,0.07434546352708711
ALB,Perl,9,0.0007409846863164828
ALB,PowerShell,1,8.233163181294254e-05
ALB,Python,47,0.003869586695208299
ALB,R,1,8.233163181294254e-05
ALB,Ruby,34,0.002799275481640046
ALB,SASS,5,0.00041165815906471265
ALB,SQL,348,0.028651407870904002
ALB,SVG,7,0.0005763214226905978
ALB,Silverlight,1,8.233163181294254e-05
ALB,Swift,8,0.0006586530545035403
ALB,TypeScript,1,8.233163181294254e-05
ALB,VB.NET,26,0.002140622427136506
