country,tag,count,pct
ABW,ASP.NET,1,0.2032520325203252
ABW,Android,7,1.4227642276422765
ABW,C#,11,2.2357723577235773
ABW,C++,1,0.2032520325203252
ABW,CSS,3,0.6097560975609756
ABW,HTML,3,0.6097560975609756
ABW,Haskell,2,0.4065040650406504
ABW,Java,9,1.829268292682927
ABW,JavaScript,16,3.252032520325203
ABW,Objective-C,6,1.2195121951219512
ABW,Other,356,72.35772357723577
ABW,PHP,12,2.4390243902439024
ABW,PowerShell,2,0.4065040650406504
ABW,Python,4,0.8130081300813008
ABW,SQL,3,0.6097560975609756
ABW,Silverlight,30,6.097560975609756
ABW,Swift,1,0.2032520325203252
ABW,VB6,1,0.2032520325203252
ABW,VBA,9,1.829268292682927
ABW,VBScript,1,0.2032520325203252
ABW,iOS,3,0.6097560975609756
ABW,iPhone,11,2.2357723577235773
AFG,ASP.NET,207,2.6904081102157527
AFG,Android,126,1.6376397192617624
AFG,Assembly,2,0.02599428125812321
AFG,Bash,1,0.012997140629061606
AFG,C,5,0.06498570314530804
AFG,C#,430,5.588770470496491
AFG,C++,8,0.10397712503249285
AFG,CSS,186,2.417468157005459
AFG,HTML,272,3.535222251104757
AFG,Java,157,2.040551078762672
AFG,JavaScript,378,4.9129191577852875
AFG,Objective-C,15,0.1949571094359241
AFG,Other,4906,63.76397192617624
AFG,PHP,618,8.032232908760072
AFG,Perl,3,0.03899142188718482
AFG,Python,16,0.2079542500649857
AFG,SASS,1,0.012997140629061606
AFG,SQL,300,3.899142188718482
AFG,SVG,1,0.012997140629061606
AFG,Silverlight,1,0.012997140629061606
AFG,Smalltalk,1,0.012997140629061606
AFG,Swift,5,0.06498570314530804
AFG,VB.NET,17,0.22095139069404732
AFG,iOS,36,0.46789706264621783
AFG,iPhone,2,0.02599428125812321
AGO,ASP.NET,3,0.7194244604316546
AGO,Android,2,0.47961630695443647
AGO,C,4,0.9592326139088729
AGO,C#,9,2.158273381294964
AGO,CSS,2,0.47961630695443647
